Refrence,part,amount,Price(£),link
pcb hardware,,,,
J1,"2 pin screw terminal,5.08 pitch,throught hole",1,0.99,https://www.aliexpress.com/i/1005001666625465.html
J2,"2 pin screw terminal,5.08 pitch,throught hole",1,0.99,https://www.aliexpress.com/i/1005001666625465.html
J3,"2 pin screw terminal,2.54 pitch,throught hole",1,1.9,https://www.aliexpress.com/item/1005003629262239.html
J4,1 pin header,1,0.97,https://www.aliexpress.com/item/1005005574179742.html?spm=a2g0o.productlist.main.4.11d11d9fVqhjBr&aem_p4p_detail=2026052605484211385631158963360002545968&algo_pvid=5ebd36c6-853a-4928-b31e-30f3c54b6f30&algo_exp_id=5ebd36c6-853a-4928-b31e-30f3c54b6f30-3&pdp_ext_f=%7B%22order%22%3A%225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%210.97%210.97%21%21%218.64%218.64%21%40211b441e17797997226086817edec6%2112000056154614568%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=yeicRqOfbt8m&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005574179742%7C_p_origin_prod%3A&search_p4p_id=2026052605484211385631158963360002545968_1
F1,"2A,slow blow fuse + inline fuse holder",1,0.99,https://www.aliexpress.com/item/1005010608703257.html?spm=a2g0o.productlist.main.8.6a612c1eZL6VjI&aem_p4p_detail=2026052605503513829721116930820002563285&algo_pvid=7130f03d-e8c5-4409-adac-d030c669fb98&algo_exp_id=7130f03d-e8c5-4409-adac-d030c669fb98-7&pdp_ext_f=%7B%22order%22%3A%2268%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.74%210.99%21%21%2115.41%218.75%21%40211b80e117797998357631161e1d9a%2112000052961333373%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325736&curPageLogUid=fXvsTCpmPWWg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010608703257%7C_p_origin_prod%3A&search_p4p_id=2026052605503513829721116930820002563285_2
s1,spst toggle switch,1,2.32,"https://www.aliexpress.com/item/1005005937082827.html?spm=a2g0o.productlist.main.3.1520kaP9kaP9W4&algo_pvid=f80208e0-e6a5-4b82-bcd1-0792d1fa0fc2&algo_exp_id=f80208e0-e6a5-4b82-bcd1-0792d1fa0fc2-2&pdp_ext_f=%7B%22order%22%3A%22329%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%218.62%212.32%21%21%2176.58%2120.59%21%40211b61bb17797999119975723ec721%2112000034928783203%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000206380079&curPageLogUid=6XKZixc4s9eP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005937082827%7C_p_origin_prod%3A
"
s2,spst momentory push button,1,0.64,https://www.aliexpress.com/item/1005003807410534.html?spm=a2g0o.productlist.main.4.51465a5eMtWG2u&aem_p4p_detail=202605260553346975532063408600002460087&algo_pvid=2b0673da-0d62-4fa2-87d9-ab1e394e4383&algo_exp_id=2b0673da-0d62-4fa2-87d9-ab1e394e4383-3&pdp_ext_f=%7B%22order%22%3A%222935%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.23%211.13%21%21%211.61%211.48%21%40211b65de17798000147284388e1f66%2112000027234592378%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=glqdG6u9VZ9A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003807410534%7C_p_origin_prod%3A&search_p4p_id=202605260553346975532063408600002460087_1
,"copper foil tape,50mm width",1,4.14,https://www.aliexpress.com/item/1005010583224519.html?spm=a2g0o.productlist.main.7.1f9b2e15R6w2Gt&algo_pvid=f35f8ef2-3987-459d-9cd6-4952c6a4edda&algo_exp_id=f35f8ef2-3987-459d-9cd6-4952c6a4edda-6&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%218.30%214.14%21%21%2173.70%2136.76%21%40211b815c17798000805023050e9c3c%2112000052894078339%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000206380079&curPageLogUid=0fm7rii8FB44&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010583224519%7C_p_origin_prod%3A
semi conductor,,,,
u1,MC34063AP(boost converter),1,1.26,https://www.aliexpress.com/item/1005006918896712.html?spm=a2g0o.productlist.main.2.3b1f3d62Aazmkj&algo_pvid=70b8dafa-d909-4b09-8cee-2c1607610d58&algo_exp_id=70b8dafa-d909-4b09-8cee-2c1607610d58-1&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.53%211.26%21%21%2122.50%2111.24%21%40211b80e117798001430928717e1db9%2112000038725101998%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=9I1loV7CMcEy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006918896712%7C_p_origin_prod%3A
